Outstation,Item,Label,State,Alarm,
11,I1,AHU04 Supply Filter Dirty,Off,No Alarm
11,I2,AHU04 Extract Filter Dirty,Off,No Alarm
11,I3,AHU04 Supply Fan Flow,On,No Alarm
11,I4,AHU04 Extract Fan Flow,Off,No Alarm
11,I5,AHU09 Supply Filter Dirty,Off,No Alarm
11,I6,AHU09 Extract Filter Dirty,Off,No Alarm
11,I7,AHU09 Supply Fan Flow,Off,No Alarm
11,I8,AHU09 Extract Fan Flow,Off,No Alarm
11,I9,AHU28 Supply Filter Dirty,Off,No Alarm
11,I10,AHU28 Extract Filter Dirty,Off,No Alarm
11,I10,AHU28 Extract Filter Dirty,Off,No Alarm
11,I11,AHU28 Supply Fan Flow,Off,No Alarm
11,I12,AHU28 Extract Fan Flow,Off,No Alarm
11,I13,AHU32 Supply Filter Dirty,Off,No Alarm
11,I14,AHU32 Extract Filter Dirty,Off,No Alarm
11,I15,AHU32 Supply Fan Flow,Off,No Alarm
11,I16,AHU32 Extract Fan Flow,Off,No Alarm
11,I17,AHU35 Supply Filter Dirty,Off,No Alarm
11,I18,AHU35 Extract Filter Dirty,Off,No Alarm
11,I19,AHU35 Supply Fan Flow,On,No Alarm
11,I20,AHU35 Extract Fan Flow,On,No Alarm
11,I21,Fire Alarm Active,Off,No Alarm
11,I22,CP1 Service Required,On,Digin
11,I23,AHU4 Recoup in Heat Mode,Off,No Alarm
11,I24,AHU4 Recoup in Cool Mode,Off,No Alarm
11,I25,AHU4 Supply Flow Fail,On,Digin
11,I26,AHU4 ExtractFlow Fail,Off,No Alarm
11,I27,LV3 DBLPG1 Gym Elec Meter,Off,No Alarm
11,I28,LV3 DBLPG2 Pool Elec Meter,Off,No Alarm
11,I29,AHU9 Supply Flow Fail,Off,No Alarm
11,I31,AHU9 Recoup in Heat Mode,Off,No Alarm
11,I32,AHU9 Recoup in Cool Mode,Off,No Alarm
11,I33,LV3 DBLPG3 Office Elec Meter,Off,No Alarm
11,I34,LV3 Plant RM ISO Elec Meter,Off,No Alarm
11,I35,AHU28 Supply Flow Fail,Off,No Alarm
11,I36,AHU28 ExtractFlow Fail,Off,No Alarm
11,I37,AHU28 Recoup in Heat Mode,Off,No Alarm
11,I38,AHU28 Recoup in Cool Mode,Off,No Alarm
11,I39,AHU32 Supply Flow Fail,On,Digin
11,I40,AHU32 Duty Fan Fail,Off,No Alarm
11,I40,AHU32 Duty Fan Fail,Off,No Alarm
11,I41,AHU32 Extract Fan 1+2 Fail,Off,No Alarm
11,I42,AHU32 Recoup in Heat Mode,Off,No Alarm
11,I43,AHU32 Recoup in Cool Mode,Off,No Alarm
11,I44,AHU35 Supply Flow Fail,Off,No Alarm
11,I45,AHU35 ExtractFlow Fail,Off,No Alarm
11,I46,AHU35 Recoup in Heat Mode,On,No Alarm
11,I47,AHU35 Recoup in Cool Mode,Off,No Alarm
11,I48,WR DBMW1 Gen LP Elec Meter,Off,No Alarm
11,I49,LV3 CP1 Elec Meter,Off,No Alarm
11,I50,LV3 DBSPA1 LP Elec Meter,Off,No Alarm
11,I51,LPG DB8,Off,No Alarm
11,I54,AHU9 Duty Fan Fail,Off,No Alarm
11,I55,AHU9 Extract Fan 1+2 Fail,Off,No Alarm
13,I1,CP2 Service Required,On,Digin
13,I2,AHU13 Supply Filter Dirty,Off,No Alarm
13,I3,AHU13 Extract Filter Dirty,Off,No Alarm
13,I4,AHU13 Supply Fan Flow,Off,No Alarm
13,I5,AHU13 Extract Fan Flow,Off,No Alarm
